Modelo,Descripción,Talla,Color,Stock Actual
J0116,EXFOLIANTE JABONOSO 120 ML HIERBA LUISA,120 ML,HIERBA LUISA,4
J0116,EXFOLIANTE JABONOSO 34 ML MARACUYA,34 ML,MARACUYA,3
J0116,EXFOLIANTE JABONOSO 120 ML MARACUYA,120 ML,MARACUYA,1
J0116,EXFOLIANTE JABONOSO 120 ML ORQUIDEA BLANCA,120 ML,ORQUIDEA BLANCA,5
J0116,EXFOLIANTE JABONOSO 220 ML SERENIDAD,220 ML,SERENIDAD,5
J0116,EXFOLIANTE JABONOSO 220 ML TRANQ.,220 ML,TRANQ.,7
J0123,EXFOLIANTE OLEOSO 200 GR AMOR,200 GR,AMOR,1
J0123,EXFOLIANTE OLEOSO 200 GR ARMONÍA,200 GR,ARMONÍA,1
J0123,EXFOLIANTE OLEOSO 200 GR ENERGÍA,200 GR,ENERGÍA,1
J0123,EXFOLIANTE OLEOSO 200 GR FELICIDAD,200 GR,FELICIDAD,0
J0123,EXFOLIANTE OLEOSO 200 GR SERENIDAD,200 GR,SERENIDAD,1
J0123,EXFOLIANTE OLEOSO 200 GR TRANQ.,200 GR,TRANQ.,0
J0129,GEL ANTIBACTERIAL 35 ML AMOR,35 ML,AMOR,1
J0129,GEL ANTIBACTERIAL 35 ML ARMONÍA,35 ML,ARMONÍA,1
J0129,GEL ANTIBACTERIAL 35 ML ENERGÍA,35 ML,ENERGÍA,0
J0129,GEL ANTIBACTERIAL 35 ML FELICIDAD,35 ML,FELICIDAD,1
J0129,GEL ANTIBACTERIAL 35 ML SERENIDAD,35 ML,SERENIDAD,0
J0129,GEL ANTIBACTERIAL 35 ML TRANQ.,35 ML,TRANQ.,0
J0130,JABON AROMANDINA 100 GR COCA MENTA,100 GR,COCA MENTA,0
J0130,JABON AROMANDINA 100 GR HIERBA LUISA,100 GR,HIERBA LUISA,2
J0130,JABON AROMANDINA 100 GR MUÑA,100 GR,MUÑA,1
J0130,JABON AROMANDINA 100 GR PALO SANTO,100 GR,PALO SANTO,1
J0130,JABON AROMANDINA 100 GR RUDA,100 GR,RUDA,0
J0132,JABON DE LA ABUELA 100 GR ALMENDRA VAINILLA,100 GR,ALMENDRA VAINILLA,2
J0132,JABON DE LA ABUELA 100 GR FRUTAS SILVESTRES,100 GR,FRUTAS SILVESTRES,1
