F. Emision,Descripción,category,subcategory,volume,weight,fragance,other,Stock Actual,P. Unitario
01/11/2023,SPRAY AROMATIZADOR 550 ML FELICIDAD,AROMATIZADORES,SPRAYS,550 ML,,FELICIDAD,,29,65
01/11/2023,SPRAY AROMATIZADOR 30 ML HIERBA LUISA,AROMATIZADORES,SPRAYS,30 ML,,HIERBA LUISA,,2,22.9
01/11/2023,SPRAY AROMATIZADOR 550 ML HIERBA LUISA,AROMATIZADORES,SPRAYS,550 ML,,HIERBA LUISA,,15,65
11/11/2023,SPRAY AROMATIZADOR 30 ML LAVANDA,AROMATIZADORES,SPRAYS,30 ML,,LAVANDA,,2,22.9
01/11/2023,SPRAY AROMATIZADOR 550 ML LAVANDA,AROMATIZADORES,SPRAYS,550 ML,,LAVANDA,,1,65
01/11/2023,SPRAY AROMATIZADOR 30 ML MANZANA CANELA,AROMATIZADORES,SPRAYS,30 ML,,MANZANA CANELA,,3,22.9
01/11/2023,SPRAY AROMATIZADOR 550 ML MANZANA CANELA,AROMATIZADORES,SPRAYS,550 ML,,MANZANA CANELA,,5,65
01/11/2023,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,AROMATIZADORES,SPRAYS,550 ML,,ORQUIDEA BLANCA,,27,65
16/08/2024,SPRAY AROMATIZADOR 30 ML SERENIDAD,AROMATIZADORES,SPRAYS,30 ML,,SERENIDAD,,0,19.47
01/11/2023,SPRAY AROMATIZADOR 550 ML SERENIDAD,AROMATIZADORES,SPRAYS,550 ML,,SERENIDAD,,19,55.25
01/11/2023,SPRAY AROMATIZADOR 550 ML TÉ VERBENA,AROMATIZADORES,SPRAYS,550 ML,,TÉ VERBENA,,12,65
01/11/2023,SPRAY AROMATIZADOR 30 ML TE VERDE,AROMATIZADORES,SPRAYS,30 ML,,TE VERDE,,2,22.9
01/11/2023,SPRAY AROMATIZADOR 550 ML TE VERDE,AROMATIZADORES,SPRAYS,550 ML,,TE VERDE,,21,65
03/11/2023,SPRAY AROMATIZADOR 550 ML TRANQ.,AROMATIZADORES,SPRAYS,550 ML,,TRANQUILIDAD,,12,65
01/11/2023,SPRAY AROMATIZADOR 30 ML VAINILLA,AROMATIZADORES,SPRAYS,30 ML,,VAINILLA,,3,22.9
01/11/2023,SPRAY AROMATIZADOR 550 ML VAINILLA,AROMATIZADORES,SPRAYS,550 ML,,VAINILLA,,4,65
01/11/2023,FAROLA,AROMATIZADORES,VELAS,,,,,1,105.9
01/11/2023,VELA BOTÁNICA BRISAS DEL MAR,AROMATIZADORES,VELAS,,,BRISAS DEL MAR,,1,59.9
01/11/2023,VELA BOTÁNICA CANELA,AROMATIZADORES,VELAS,,,CANELA,,2,59.9
01/11/2023,VELA BOTÁNICA CHOCOLATE,AROMATIZADORES,VELAS,,,CHOCOLATE,,1,59.9
01/11/2023,VELA BOTÁNICA EUCALIPTO,AROMATIZADORES,VELAS,,,EUCALIPTO,,2,59.9
01/11/2023,VELA BOTÁNICA NARANJA,AROMATIZADORES,VELAS,,,NARANJA,,0,59.9
01/11/2023,VELA BOTÁNICA ROSAS,AROMATIZADORES,VELAS,,,ROSAS,,3,59.9
01/11/2023,ALMOHADILLA DE CINTURA,ACCESORIOS,,,,,,4,84.9
01/11/2023,ALMOHADILLA DE CUELLO,ACCESORIOS,,,,,,4,84.9
01/11/2023,ALMOHADILLA DE ENSUEÑO,ACCESORIOS,,,,,,3,52.9
01/11/2023,ESENCIA 10 ML ADIOS ANSIEDAD,ACEITES ESENCIALES,,10 ML,,ADIOS ANSIEDAD,,0,79.9
01/11/2023,ESENCIA 10 ML BUENAS NOCHES,ACEITES ESENCIALES,,10 ML,,BUENAS NOCHES,,2,79.9
01/11/2023,ESENCIA 10 ML ME SIENTO SEXY,ACEITES ESENCIALES,,10 ML,,ME SIENTO SEXY,,2,79.9
